facility_id,timestamp,emission,power_in_MW,name,network_region,units,latitude,longitude,fuel_source,value_price_in_$/MWh,value_demand_in_MW
ADP,2025-10-01T00:00:00+10:00,0,0.004,Adelaide Desalination,SA,"[{'code': 'ADPBA1G', 'code_display': '0ADPBA1G', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 7.76, 'capacity_maximum': 6.15, 'capacity_storage': 12.6, 'data_first_seen': '2021-04-20T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2021-05-17T14:00:00+10:00', 'commencement_date_specificity': 'day', 'closure_date_specificity': 'day', 'expected_closure_date': '2040-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 6.645, 'max_generation_interval': '2024-11-28T15:30:00', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2026-06-29T06:01:59Z'}, {'code': 'ADPBA1L', 'code_display': '0ADPBA1L', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 7.76, 'capacity_maximum': 6.15, 'capacity_storage': 12.6, 'data_first_seen': '2021-04-20T00:05:00+10:00', 'data_last_seen': '2026-09-05T23:40:00+10:00', 'dispatch_type': 'LOAD', 'commencement_date': '2021-05-17T14:00:00+10:00', 'commencement_date_specificity': 'day', 'closure_date_specificity': 'day', 'expected_closure_date': '2040-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 7.0, 'max_generation_interval': '2024-12-08T08:15:00', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2026-06-29T06:02:05Z'}, {'code': 'ADPBA1', 'code_display': 'ADPBA1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 7.76, 'capacity_maximum': 6.15, 'capacity_storage': 12.6, 'data_first_seen': '2024-09-06T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'commencement_date': '2021-05-17T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2040-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 6.645, 'max_generation_interval': '2024-11-28T15:30:00', 'created_at': '2024-10-13T04:24:08Z', 'updated_at': '2026-07-13T05:25:28Z'}, {'code': 'ADPPV1', 'code_display': 'ADPPV1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 24.75, 'capacity_maximum': 19.0, 'data_first_seen': '2021-04-20T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2021-05-17T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2040-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 20.433, 'max_generation_interval': '2024-11-06T11:25:00', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2026-01-20T00:29:00Z'}, {'code': 'ADPPV2', 'code_display': 'ADPPV2', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 0.2, 'capacity_maximum': 0.2, 'dispatch_type': 'GENERATOR', 'commencement_date': '2021-12-31T14:00:00Z', 'commencement_date_specificity': 'year', 'expected_closure_date': '2040-12-31T14:00:00Z', 'expected_closure_date_specificity': 'year', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2026-01-20T00:28:36Z'}, {'code': 'ADPPV3', 'code_display': 'ADPPV3', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 0.02, 'capacity_maximum': 0.02, 'dispatch_type': 'GENERATOR', 'commencement_date': '2021-12-31T14:00:00Z', 'commencement_date_specificity': 'year', 'expected_closure_date': '2049-12-31T14:00:00Z', 'expected_closure_date_specificity': 'year', 'created_at': '2023-10-18T04:34:30Z', 'updated_at': '2026-01-20T00:28:46Z'}, {'code': 'ADPMH1', 'code_display': 'ADPMH1', 'fueltech_id': 'hydro', 'status_id': 'operating', 'capacity_registered': 1.44, 'capacity_maximum': 1.0, 'dispatch_type': 'GENERATOR', 'commencement_date': '2021-12-31T14:00:00Z', 'commencement_date_specificity': 'year', 'expected_closure_date': '2049-12-31T14:00:00Z', 'expected_closure_date_specificity': 'year', 'created_at': '2026-01-20T00:30:20Z', 'updated_at': '2026-01-20T00:32:52Z'}]",-35.096948,138.484061,battery_discharging,8.11,1564.92
ARWF,2025-10-01T00:00:00+10:00,0,35.4,Ararat,VIC,"[{'code': 'ARWF1', 'code_display': 'ARWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 241.59, 'capacity_maximum': 241.0, 'data_first_seen': '2016-06-23T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2016-08-18T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2046-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 237.0, 'max_generation_interval': '2018-08-05T15:15:00', 'created_at': '2023-10-18T04:34:32Z', 'updated_at': '2026-06-29T04:35:00Z'}]",-37.238714,143.079243,wind,8.95,4893.49
B2PS,2025-10-01T00:00:00+10:00,0.004,0.081,Braemar 2,QLD,"[{'code': 'BRAEMAR6', 'code_display': 'BRAEMAR6', 'fueltech_id': 'gas_ocgt', 'status_id': 'operating', 'capacity_registered': 173.0, 'capacity_maximum': 173.0, 'emissions_factor_co2': 0.5806, 'data_first_seen': '2009-03-27T01:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2009-04-07T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2048-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 174.1578, 'max_generation_interval': '2019-06-03T17:45:00', 'created_at': '2023-10-18T04:34:32Z', 'updated_at': '2026-06-29T04:55:40Z'}, {'code': 'BRAEMAR5', 'code_display': 'BRAEMAR5', 'fueltech_id': 'gas_ocgt', 'status_id': 'operating', 'capacity_registered': 173.0, 'capacity_maximum': 173.0, 'emissions_factor_co2': 0.5806, 'data_first_seen': '2009-03-27T01:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2009-03-27T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2048-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 174.2787, 'max_generation_interval': '2021-05-25T16:35:00', 'created_at': '2023-10-18T04:34:32Z', 'updated_at': '2026-06-29T04:55:02Z'}, {'code': 'BRAEMAR7', 'code_display': 'BRAEMAR7', 'fueltech_id': 'gas_ocgt', 'status_id': 'operating', 'capacity_registered': 173.0, 'capacity_maximum': 173.0, 'emissions_factor_co2': 0.5806, 'data_first_seen': '2009-03-27T01:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2009-04-24T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2048-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 174.7016, 'max_generation_interval': '2022-08-06T18:10:00', 'created_at': '2023-10-18T04:34:32Z', 'updated_at': '2026-06-29T04:55:28Z'}]",-27.112874,150.905442,gas_ocgt,54.82,5989.24
BANGOWF,2025-10-01T00:00:00+10:00,0,97.699,Bango,NSW,"[{'code': 'BANGOWF2', 'code_display': 'BANGOWF2', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 84.8, 'capacity_maximum': 82.0, 'data_first_seen': '2021-05-25T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2021-06-10T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2044-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 83.9987, 'max_generation_interval': '2024-09-02T07:15:00', 'created_at': '2023-10-18T04:34:33Z', 'updated_at': '2026-06-29T05:38:13Z'}, {'code': 'BANGOWF1', 'code_display': 'BANGOWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 159.0, 'capacity_maximum': 155.0, 'data_first_seen': '2020-12-15T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2021-01-13T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2044-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 156.7968, 'max_generation_interval': '2025-08-21T00:55:00', 'created_at': '2023-10-18T04:34:33Z', 'updated_at': '2026-06-29T05:37:44Z'}]",-34.767208,148.921499,wind,56.98,7105.57
BARCSF,2025-10-01T00:00:00+10:00,0,0.1,Barcaldine,QLD,"[{'code': 'BARCSF1', 'code_display': 'BARCSF1', 'fueltech_id': 'solar_utility', 'status_id': 'operating', 'capacity_registered': 20.0, 'capacity_maximum': 20.0, 'data_first_seen': '2016-12-21T14:55:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2016-12-21T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2048-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 20.5, 'max_generation_interval': '2018-03-23T09:05:00', 'created_at': '2023-10-18T04:34:33Z', 'updated_at': '2026-06-29T05:27:31Z'}]",-23.547776,145.318817,solar_utility,54.82,5989.24
BASTYAN,2025-10-01T00:00:00+10:00,0,57.1,Bastyan,TAS,"[{'code': 'BASTYAN', 'code_display': 'BASTYAN', 'fueltech_id': 'hydro', 'status_id': 'operating', 'capacity_registered': 79.9, 'capacity_maximum': 88.0, 'data_first_seen': '2005-05-16T13:35:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '1982-12-31T14:00:00+10:00', 'commencement_date_specificity': 'year', 'expected_closure_date': '2099-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 83.21, 'max_generation_interval': '2018-05-04T09:00:00', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2026-06-29T05:29:24Z'}]",-41.736045,145.532064,hydro,0.12,898.71
BAYSW,2025-10-01T00:00:00+10:00,41.914,558.395,Bayswater,NSW,"[{'code': 'BW01', 'code_display': 'BW01', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 660.0, 'capacity_maximum': 660.0, 'emissions_factor_co2': 0.87, 'data_first_seen': '1998-12-07T02:40:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '1984-12-31T14:00:00+10:00', 'commencement_date_specificity': 'year', 'expected_closure_date': '2032-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 1498.0, 'max_generation_interval': '1999-12-21T10:40:00', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2026-06-30T04:40:16Z'}, {'code': 'BW03', 'code_display': 'BW03', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 660.0, 'capacity_maximum': 685.0, 'emissions_factor_co2': 0.87, 'data_first_seen': '1998-12-07T02:40:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '1985-12-31T14:00:00+10:00', 'commencement_date_specificity': 'year', 'expected_closure_date': '2032-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 719.6765, 'max_generation_interval': '2026-06-29T08:25:00', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2026-06-30T04:40:30Z'}, {'code': 'BW04', 'code_display': 'BW04', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 660.0, 'capacity_maximum': 685.0, 'emissions_factor_co2': 0.87, 'data_first_seen': '1998-12-07T02:40:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '1985-12-31T14:00:00+10:00', 'commencement_date_specificity': 'year', 'expected_closure_date': '2032-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 726.01, 'max_generation_interval': '2004-07-23T11:00:00', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2026-06-30T04:40:37Z'}, {'code': 'BW02', 'code_display': 'BW02', 'fueltech_id': 'coal_black', 'status_id': 'operating', 'capacity_registered': 660.0, 'capacity_maximum': 685.0, 'emissions_factor_co2': 0.87, 'data_first_seen': '1998-12-07T02:40:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '1984-12-31T14:00:00+10:00', 'commencement_date_specificity': 'year', 'expected_closure_date': '2032-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 748.225, 'max_generation_interval': '2021-08-14T21:45:00', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2026-06-30T04:40:22Z'}]",-32.394981,150.94949,coal_black,56.98,7105.57
BBATTERY,2025-10-01T00:00:00+10:00,0,0.015,Bouldercombe,QLD,"[{'code': 'BBATTERY1', 'code_display': 'BBATTERY1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 67.0, 'capacity_maximum': 50.0, 'capacity_storage': 100.0, 'data_first_seen': '2024-10-04T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'commencement_date': '2023-08-08T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2041-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 50.0482, 'max_generation_interval': '2026-01-27T17:20:00', 'created_at': '2024-10-24T05:23:38Z', 'updated_at': '2026-04-01T01:25:55Z'}, {'code': 'BBATTERYG1', 'code_display': '0BBATTERYG1', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 67.0, 'capacity_maximum': 50.0, 'capacity_storage': 100.0, 'data_first_seen': '2023-07-11T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2023-08-08T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2041-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 50.1444, 'max_generation_interval': '2023-09-14T13:40:00', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2026-07-28T23:56:39Z'}, {'code': 'BBATTERYL1', 'code_display': '0BBATTERYL1', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 67.0, 'capacity_maximum': 50.0, 'capacity_storage': 100.0, 'data_first_seen': '2023-07-11T00:05:00+10:00', 'data_last_seen': '2026-09-05T22:55:00+10:00', 'dispatch_type': 'LOAD', 'commencement_date': '2023-08-08T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2041-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 50.0675, 'max_generation_interval': '2024-07-13T08:05:00', 'created_at': '2023-10-18T04:34:35Z', 'updated_at': '2026-07-28T23:56:24Z'}]",-23.535251,150.489057,battery,54.82,5989.24
BHB,2025-10-01T00:00:00+10:00,0,2.194,Broken Hill Battery,NSW,"[{'code': 'BHB1', 'code_display': 'BHB1', 'fueltech_id': 'battery', 'status_id': 'operating', 'capacity_registered': 66.0, 'capacity_maximum': 50.0, 'capacity_storage': 50.0, 'data_first_seen': '2024-08-08T04:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'BIDIRECTIONAL', 'commencement_date': '2023-11-30T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2042-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 50.2277, 'max_generation_interval': '2024-08-14T17:45:00', 'created_at': '2024-11-06T23:28:31Z', 'updated_at': '2026-08-10T06:44:17Z'}, {'code': 'BHBG1', 'code_display': '0BHBG1', 'fueltech_id': 'battery_discharging', 'status_id': 'operating', 'capacity_registered': 66.0, 'capacity_maximum': 50.0, 'capacity_storage': 50.0, 'data_first_seen': '2023-11-28T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2023-11-30T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2042-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 50.2277, 'max_generation_interval': '2024-08-14T17:45:00', 'created_at': '2024-09-20T01:13:27Z', 'updated_at': '2026-08-10T06:44:02Z'}, {'code': 'BHBL1', 'code_display': '0BHBL1', 'fueltech_id': 'battery_charging', 'status_id': 'operating', 'capacity_registered': 66.0, 'capacity_maximum': 50.0, 'capacity_storage': 50.0, 'data_first_seen': '2023-11-28T00:05:00+10:00', 'data_last_seen': '2026-09-05T22:40:00+10:00', 'dispatch_type': 'LOAD', 'commencement_date': '2023-11-30T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2042-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 50.0, 'max_generation_interval': '2024-05-22T11:40:00', 'created_at': '2024-09-20T01:14:54Z', 'updated_at': '2026-08-10T06:44:10Z'}]",-31.986306,141.422951,battery,56.98,7105.57
BHWF,2025-10-01T00:00:00+10:00,0,7.764,Bald Hills,VIC,"[{'code': 'BALDHWF1', 'code_display': 'BALDHWF1', 'fueltech_id': 'wind', 'status_id': 'operating', 'capacity_registered': 106.6, 'capacity_maximum': 106.0, 'data_first_seen': '2015-01-29T00:05:00+10:00', 'data_last_seen': '2026-09-06T00:00:00+10:00', 'dispatch_type': 'GENERATOR', 'commencement_date': '2015-02-23T14:00:00+10:00', 'commencement_date_specificity': 'day', 'expected_closure_date': '2039-12-31T14:00:00+10:00', 'expected_closure_date_specificity': 'year', 'max_generation': 105.928, 'max_generation_interval': '2026-07-13T15:00:00', 'created_at': '2023-10-18T04:34:36Z', 'updated_at': '2026-06-29T06:10:25Z'}]",-38.746897,145.949104,wind,8.95,4893.49
